_id,TrialId,Threshold,GuessedCorrectly,GuessedIndex,CorrectIndex,Timestamp,Parameters.Resolution,Parameters.IsSymmetric,Parameters.ColorCount,Parameters.Saturation,Parameters.Lightness,Parameters.MinHueDistance,Parameters.HueSpacing,Parameters.SafeMode
fb3b6521-0913-4410-a976-0f806a958d09,c4c34c9f-9d75-4814-a4ce-a592ee9421f2,0.96,true,-1,-1,2026-08-25T15:55:19.616Z,5,true,1,70,50,45,45,0
18811527-a8d1-490e-98f7-62f126bd8e38,954a5cda-d9fa-4368-8bb3-ffdbfe2ea817,0.96,true,2,2,2026-08-25T15:55:27.769Z,5,true,1,70,50,45,45,0
e23d087f-997f-4317-9951-3abf11ad8441,0fde9b35-ec66-454b-8377-eb72c1eceffe,0.96,true,-1,-1,2026-08-25T15:55:33.476Z,5,true,1,70,50,45,45,0
67131201-904b-46b3-981e-b4530c44cae3,686828f6-8f72-4061-a850-dc7b376fa985,0.96,false,2,-1,2026-08-25T15:55:38.262Z,5,true,1,70,50,45,45,0
69935892-c641-4ffa-a553-af7e939b3dc2,eb6e3f37-9e76-4f0a-be17-3366071b6fc3,0.96,true,-1,-1,2026-08-25T15:55:44.838Z,5,true,1,70,50,45,45,0
af56e24f-bd38-4346-9560-53f9024d6378,525a27e5-b384-4f06-ab6e-6405c906fbdb,0.92,true,1,1,2026-08-25T15:55:49.839Z,5,true,1,70,50,45,45,0
7784b14e-a73a-427f-8674-1f0c555ebc31,9fc7bea6-f338-46e6-92b6-41a3a1a2cd80,0.96,true,-1,-1,2026-08-25T15:55:54.874Z,5,true,1,70,50,45,45,0
f9a49e30-742e-4991-8f23-c786f8c8f21e,0f7964a9-0141-47f6-9eb1-fc1bd957766f,0.96,true,-1,-1,2026-08-25T15:56:05.060Z,5,true,1,70,50,45,45,0
d2f4ec98-3720-4191-bb1e-a6a7d5e54533,2ff766b5-6cdd-4a1f-9ab9-d5a7fb16c173,0.96,true,1,1,2026-08-25T15:56:10.482Z,5,true,1,70,50,45,45,0
d4d8619f-c2b5-4a26-b4a9-d50430e6a131,2f3eb023-6079-45e4-807b-5b0735bff6b8,0.96,true,-1,-1,2026-08-25T15:56:18.486Z,5,true,1,70,50,45,45,0
99c521f7-0543-48f4-b0df-1f4a1f918670,5c7ac3b4-0350-4a62-80f2-5cc3a644cc31,0.96,true,-1,-1,2026-08-25T15:56:24.823Z,5,true,1,70,50,45,45,0
61aabc76-fafd-47e3-9f02-51a670402308,194ea870-8e31-4693-86a1-8bb6577ad1bf,0.96,true,0,0,2026-08-25T15:56:30.920Z,5,true,1,70,50,45,45,0
a1eb15ce-1266-4fed-8007-910784b28586,d3d8101f-8dea-4d71-b8f8-39701250607f,0.96,false,-1,3,2026-08-25T15:56:38.879Z,5,true,1,70,50,45,45,0
7d9f4248-56cf-4d8a-b58b-89e530016fbd,ac817436-50f2-4abf-966f-19a5253f011e,0.92,true,2,2,2026-08-25T15:56:44.330Z,5,true,1,70,50,45,45,0
70b0e9a6-0018-4b48-b35b-4ad096b20c1b,48b23b10-f8b5-45e6-9506-0e365a7936b6,0.96,false,-1,0,2026-08-25T15:56:50.143Z,5,true,1,70,50,45,45,0
49d7c1f3-b836-462f-860b-1d12012bbab8,5b00bf81-2033-4e34-82fa-e1b27edd446b,0.88,true,4,4,2026-08-25T15:56:55.601Z,5,true,1,70,50,45,45,0
747b0e42-2585-476a-a5d2-67879dde0e6e,b0190045-2594-4b86-a245-ef1702fc4b4c,0.88,true,-1,-1,2026-08-25T15:57:19.850Z,5,true,1,70,50,45,45,0
3514928e-9058-4d3b-ab43-9f03ee85dcda,0e53202d-3b8f-4e7f-b58a-7217e476dc0b,0.96,true,-1,-1,2026-08-25T15:57:26.149Z,5,true,1,70,50,45,45,0
47972c65-9199-4315-a572-c6d1f053ad8c,ff288d34-0377-4bc8-8197-a3313c5e6935,0.96,true,0,0,2026-08-25T15:57:31.350Z,5,true,1,70,50,45,45,0
ce6b89e9-9546-4e88-aca6-ad844a2b656a,4627f6fa-0791-4333-9c1a-20f03d0f2e04,0.96,false,-1,2,2026-08-25T15:57:37.108Z,5,true,1,70,50,45,45,0
525ccf75-1fff-4870-8bfe-641570a47aa1,1a40df0e-a9df-49e7-84bb-7ada9243e635,0.92,true,4,4,2026-08-25T15:57:42.448Z,5,true,1,70,50,45,45,0
5d043951-33f6-445e-b3bb-ddfe234a70b1,aea3f800-64e9-4c39-a225-b2145f0523d5,0.96,true,-1,-1,2026-08-25T15:57:48.440Z,5,true,1,70,50,45,45,0
b03f772c-8c1b-483a-a3b9-45163a855dd3,958d01e1-4b80-495e-8225-044f95ba3113,0.96,true,4,4,2026-08-25T15:57:53.865Z,5,true,1,70,50,45,45,0
4983e22b-dd07-468f-8d02-d5f8a2cdbd41,bb7b1f71-fa62-4dfc-8b05-66bf9aa4c1da,0.96,true,-1,-1,2026-08-25T15:58:00.439Z,5,true,1,70,50,45,45,0
e3c2ad60-9558-41b4-816d-9a607dd56662,11f84b27-728f-4a73-88d7-3bb0d91ac4ee,0.96,false,-1,0,2026-08-25T15:58:06.425Z,5,true,1,70,50,45,45,0
1efb265c-9576-4803-ac97-a3b4c754c78e,73cef8c1-a412-4dfe-86b2-c3972ea5802a,0.84,false,-1,3,2026-08-25T15:58:12.127Z,5,true,1,70,50,45,45,0
b2d113bc-92a2-4f6b-813b-7207737c1d7c,6671a856-8408-4ded-9e2b-9a3441fc7b3b,0.84,true,3,3,2026-08-25T15:58:49.584Z,5,true,1,70,50,45,45,0
9eaadeb1-053e-4e4f-a0f4-7aab11857b10,652a2c0c-353e-4d4f-a08b-d6885678d9f7,0.92,true,-1,-1,2026-08-25T15:58:56.798Z,5,true,1,70,50,45,45,0
d1d721b4-c910-4e3e-bcaa-1cf969176ce2,82619f02-f047-4de8-b0c8-d936481c2827,0.96,true,2,2,2026-08-25T15:59:02.370Z,5,true,1,70,50,45,45,0
d3b09569-869e-48e8-81c5-abf824e94e1d,4c5af23f-ac75-4611-a01d-c1fd3170b645,0.96,true,-1,-1,2026-08-25T15:59:07.597Z,5,true,1,70,50,45,45,0
fe7c6fff-7075-4438-8104-48c5e9e7bb0e,1143bebb-394a-456a-819d-dd2c50bbd6eb,0.96,true,-1,-1,2026-08-25T15:59:12.900Z,5,true,1,70,50,45,45,0
cfeddeca-fbbf-4c0f-abd6-9545fd95321c,6d2256ce-a41b-4013-8b37-6697be518e6e,0.96,true,-1,-1,2026-08-25T15:59:17.639Z,5,true,1,70,50,45,45,0
3a768537-e1b8-4462-b287-e08d11ffbd57,a51f5e88-80a2-451e-8116-25ab95574f77,0.96,true,2,2,2026-08-25T15:59:24.801Z,5,true,1,70,50,45,45,0
f3f3ce0c-f6a2-4c5d-8596-a6e13b91542c,50cf23ce-4d78-4bee-8254-f7f90149b036,0.96,true,-1,-1,2026-08-25T15:59:32.482Z,5,true,1,70,50,45,45,0
d4ba3022-1898-4713-9831-d58500baba77,209c2165-06a8-409d-bb9e-4b700d9352ea,0.96,true,-1,-1,2026-08-25T15:59:38.055Z,5,true,1,70,50,45,45,0
aab2a850-a798-490e-bfec-4f766c8ecd02,1323babf-eec1-49c0-bb6d-531af8f8198d,0.96,true,4,4,2026-08-25T15:59:42.996Z,5,true,1,70,50,45,45,0
b85eee3b-094d-4232-b843-1f6b8c0b8048,a7b8c72c-f525-4b16-9975-be5bd32099fd,0.92,true,3,3,2026-08-25T15:59:47.888Z,5,true,1,70,50,45,45,0
879f4276-23a9-4a4a-931b-cadb859344f4,9be15069-0ff1-49ab-bc83-97952c66cb02,0.96,true,1,1,2026-08-25T15:59:52.494Z,5,true,1,70,50,45,45,0
